PERSISTENT_ACTIVITY;"This constant was deprecated in API level 9. This functionality will be removed in the future; please do not use. Allow an application to make its activities persistent."
PROCESS_OUTGOING_CALLS;Allows an application to see the number being dialed during an outgoing call with the option to redirect the call to a different number or abort the call altogether.
READ_CALENDAR;Allows an application to read the user's calendar data.
READ_CALL_LOG;Allows an application to read the user's call log.
READ_CONTACTS;Allows an application to read the user's contacts data.
READ_EXTERNAL_STORAGE;Allows an application to read from external storage.
READ_FRAME_BUFFER;Allows an application to take screen shots and more generally get access to the frame buffer data.
READ_INPUT_STATE;This constant was deprecated in API level 16. The API that used this permission has been removed.
READ_LOGS;Allows an application to read the low-level system log files.
READ_PHONE_STATE;Allows read only access to phone state.
READ_SMS;Allows an application to read SMS messages.
READ_SYNC_SETTINGS;Allows applications to read the sync settings.
READ_SYNC_STATS;Allows applications to read the sync stats.
READ_VOICEMAIL;Allows an application to read voicemails in the system.
REBOOT;Required to be able to reboot the device.
RECEIVE_BOOT_COMPLETED;Allows an application to receive the ACTION_BOOT_COMPLETED that is broadcast after the system finishes booting.
RECEIVE_MMS;Allows an application to monitor incoming MMS messages.
RECEIVE_SMS;Allows an application to receive SMS messages.
RECEIVE_WAP_PUSH;Allows an application to receive WAP push messages.
RECORD_AUDIO;Allows an application to record audio.
REORDER_TASKS;Allows an application to change the Z-order of tasks.
REQUEST_IGNORE_BATTERY_OPTIMIZATIONS;Permission an application must hold in order to useACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.
REQUEST_INSTALL_PACKAGES;Allows an application to request installing packages.
RESTART_PACKAGES;This constant was deprecated in API level 8. The restartPackage(String) API is no longer supported.
SEND_RESPOND_VIA_MESSAGE;Allows an application (Phone) to send a request to other applications to handle the respond-via-message action during incoming calls.
SEND_SMS;Allows an application to send SMS messages.
SET_ALARM;Allows an application to broadcast an Intent to set an alarm for the user.
SET_ALWAYS_FINISH;Allows an application to control whether activities are immediately finished when put in the background.
SET_ANIMATION_SCALE;Modify the global animation scaling factor.
SET_DEBUG_APP;Configure an application for debugging.
SET_PREFERRED_APPLICATIONS;This constant was deprecated in API level 7. No longer useful, seeaddPackageToPreferred(String) for details.
SET_PROCESS_LIMIT;Allows an application to set the maximum number of (not needed) application processes that can be running.
SET_TIME;Allows applications to set the system time.
SET_TIME_ZONE;Allows applications to set the system time zone.
SET_WALLPAPER;Allows applications to set the wallpaper.
SET_WALLPAPER_HINTS;Allows applications to set the wallpaper hints.
SIGNAL_PERSISTENT_PROCESSES;Allow an application to request that a signal be sent to all persistent processes.
STATUS_BAR;Allows an application to open, close, or disable the status bar and its icons.
SYSTEM_ALERT_WINDOW;Allows an app to create windows using the type TYPE_SYSTEM_ALERT, shown on top of all other apps.
TRANSMIT_IR;Allows using the device's IR transmitter, if available.
UNINSTALL_SHORTCUT;Allows an application to uninstall a shortcut in Launcher.
UPDATE_DEVICE_STATS;Allows an application to update device statistics.
USE_FINGERPRINT;Allows an app to use fingerprint hardware.
USE_SIP;Allows an application to use SIP service.
VIBRATE;Allows access to the vibrator.
WAKE_LOCK;Allows using PowerManager WakeLocks to keep processor from sleeping or screen from dimming.
WRITE_APN_SETTINGS;Allows applications to write the apn settings.
WRITE_CALENDAR;Allows an application to write the user's calendar data.
WRITE_CALL_LOG;Allows an application to write (but not read) the user's contacts data.
WRITE_CONTACTS;Allows an application to write the user's contacts data.
WRITE_EXTERNAL_STORAGE;Allows an application to write to external storage.
WRITE_GSERVICES;Allows an application to modify the Google service map.
WRITE_SECURE_SETTINGS;Allows an application to read or write the secure system settings.
WRITE_SETTINGS;Allows an application to read or write the system settings.
WRITE_SYNC_SETTINGS;Allows applications to write the sync settings.
WRITE_VOICEMAIL;Allows an application to modify and remove existing voicemails in the system
