DOC;0D 44 4F 43;DeskMate Document
DOC;CF 11 E0 A1 B1 1A E1 00;Perfect Office document
DOC;DB A5 2D 00;Word 2.0 file
DOC;EC A5 C1 00;Word document subheader
DOCX;50 4B 03 04;MS Office Open XML Format Document
DOCX;50 4B 03 04 14 00 06 00;MS Office 2007 documents
DOT;D0 CF 11 E0 A1 B1 1A E1;Microsoft Office document
DRV;4D 5A;Windows|DOS executable file
DRW;07;Generic drawing programs
DRW;01 FF 02 04 03 02;Micrografx vector graphic file
DS4;52 49 46 46;Micrografx Designer graphic
DSN;4D 56;CD Stomper Pro label file
DSP;23 20 4D 69 63 72 6F 73;MS Developer Studio project file
DSS;02 64 73 73;Digital Speech Standard file
DSW;64 73 77 66 69 6C 65;MS Visual Studio workspace file
DTD;07 64 74 32 64 64 74 64;DesignTools 2D Design file
DUN;5B 50 68 6F 6E 65 5D;Dial-up networking file
DVF;4D 53 5F 56 4F 49 43 45;Sony Compressed Voice File
DVR;44 56 44;DVR-Studio stream file
DW4;4F 7B;Visio|DisplayWrite 4 text file
DWG;41 43 31 30;Generic AutoCAD drawing
E01;45 56 46 09 0D 0A FF 00;Expert Witness Compression Format
E01;4C 56 46 09 0D 0A FF 00;Logical File Evidence Format
ECF;5B 47 65 6E 65 72 61 6C;MS Exchange configuration file
EFX;DC FE;eFax file
EML;58 2D;Exchange e-mail
EML;52 65 74 75 72 6E 2D 50;Generic e-mail_1
EML;46 72 6F 6D;Generic e-mail_2
ENL;40 40 40 20 00 00 40 40 40 40;EndNote Library File
EPS;C5 D0 D3 C6;Adobe encapsulated PostScript
EPS;25 21 50 53 2D 41 64 6F;Encapsulated PostScript file
ETH;1A 35 01 00;WinPharoah capture file
EVT;30 00 00 00 4C 66 4C 65;Windows Event Viewer file
EVTX;45 6C 66 46 69 6C 65 00;Windows Vista event log
EXE;4D 5A;Windows|DOS executable file
FDF;25 50 44 46;PDF file
FLAC;66 4C 61 43 00 00 00 22;Free Lossless Audio Codec file
FLI;00 11;FLIC animation
FLT;4D 5A 90 00 03 00 00 00;Audition graphic filter
FLT;76 32 30 30 33 2E 31 30;Qimage filter
FLV;46 4C 56;Flash video file
FM;3C 4D 61 6B 65 72 46 69;Adobe FrameMaker
FON;4D 5A;Font file
FTR;D2 0A 00 00;WinPharoah filter file
GHO;FE EF;Symantex Ghost image file
GHS;FE EF;Symantex Ghost image file
GID;3F 5F 03 00;Windows Help file_2
GID;4C 4E 02 00;Windows help file_3
GIF;47 49 46 38;GIF file
GPG;99;GPG public keyring
GRP;50 4D 43 43;Windows Program Manager group file
GX2;47 58 32;Show Partner graphics file
GZ;1F 8B 08;GZIP archive file
HAP;91 33 48 46;Hamarsoft compressed archive
HDMP;4D 44 4D 50 93 A7;Windows dump file
HDR;49 53 63 28;Install Shield compressed file
HDR;23 3F 52 41 44 49 41 4E;Radiance High Dynamic Range image file
hip;48 69 50 21;Houdini image file. Three-dimensional modeling and animation
HLP;00 00 FF FF FF FF;Windows Help file_1
HLP;3F 5F 03 00;Windows Help file_2
HLP;4C 4E 02 00;Windows help file_3
HQX;28 54 68 69 73 20 66 69;BinHex 4 Compressed Archive
ICO;00 00 01 00;Windows icon|printer spool file
IDX;41 4F 4C 44 42;AOL user configuration
IDX;41 4F 4C;AOL config files
IDX;50 00 00 00 20 00 00 00;Quicken QuickFinder Information File
IFO;44 56 44;DVD info file
IMG;50 49 43 54 00 08;ChromaGraph Graphics Card Bitmap
IMG;EB 3C 90 2A;GEM Raster file
IMG;53 43 4D 49;Img Software Bitmap
IND;41 4F 4C 49 44 58;AOL client preferences|settings file
IND;41 4F 4C;AOL config files
INFO;E3 10 00 01 00 00 00 00;Amiga icon
INFO;54 68 69 73 20 69 73 20;GNU Info Reader file
INFO;7A 62 65 78;ZoomBrowser Image Index
ISO;43 44 30 30 31;ISO-9660 CD Disc Image
IVR;2E 52 45 43;RealPlayer video file (V11+)
JAR;50 4B 03 04;Java archive_1
JAR;5F 27 A8 89;Jar archive
JAR;4A 41 52 43 53 00;JARCS compressed archive
JAR;50 4B 03 04 14 00 08 00;Java archive_2
JAVA;70 61 63 6B 61 67 65 20;Java source file
JFIF;FF D8 FF E0;JPEG IMAGE
JFIF;FF D8 FF E0;JFIF IMAGE FILE - jpeg
JG;4A 47 03 0E;AOL ART file_1
JG;4A 47 04 0E;AOL ART file_2
JNT;4E 42 2A 00;MS Windows journal
JP2;00 00 00 0C 6A 50 20 20;JPEG2000 image files
JPE;FF D8 FF E0;JPEG IMAGE
JPE;FF D8 FF E0;JPE IMAGE FILE - jpeg
JPEG;FF D8 FF E0;JPEG IMAGE
JPEG;FF D8 FF E2;CANNON EOS JPEG FILE
JPEG;FF D8 FF E3;SAMSUNG D500 JPEG FILE
JPG;FF D8 FF E0;JPEG IMAGE
JPG;FF D8 FF E1;Digital camera JPG using Exchangeable Image File Format (EXIF)
JPG;FF D8 FF E8;Still Picture Interchange File Format (SPIFF)
JTP;4E 42 2A 00;MS Windows journal
KGB;4B 47 42 5F 61 72 63 68;KGB archive
KOZ;49 44 33 03 00 00 00;Sprint Music Store audio
KWD;50 4B 03 04;KWord document
LBK;C8 00 79 00;Jeppesen FliteLog file
LGC;7B 0D 0A 6F 20;Windows application log
LGD;7B 0D 0A 6F 20;Windows application log
LHA;2D 6C 68;Compressed archive
LIB;21 3C 61 72 63 68 3E 0A;Unix archiver (ar)|MS Program Library Common Object File Format (COFF)
LIT;49 54 4F 4C 49 54 4C 53;MS Reader eBook
LNK;4C 00 00 00 01 14 02 00;Windows shortcut file
LOG;2A 2A 2A 20 20 49 6E 73;Symantec Wise Installer log
LWP;57 6F 72 64 50 72 6F;Lotus WordPro file
LZH;2D 6C 68;Compressed archive
M4A;00 00 00 20 66 74 79 70 4D 34 41;Apple audio and video files
MAR;4D 41 72 30 00;MAr compressed archive
MAR;4D 41 52 43;Microsoft|MSN MARC archive
MAR;4D 41 52 31 00;Mozilla archive
MDB;00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74 20 44 42;Microsoft Access
MDF;01 0F 00 00;SQL Data Base
MDI;45 50;MS Document Imaging file
MF;4D 61 6E 69 66 65 73 74 2D 56 65 72 73 69 6F 6E 3A 20 31 2E 30 0D 0A 43 72 65 61 74 65 64 2D 42 79 3A 20 31 2E 30 20 28 41 6E 64 72 6F 69 64 29;Android manifest checksum file v1.0 - Created By Android
MF;82 03 04 06 09 2A;Android manifest checksum file v1.0 - Created By Android
MF;4d 61 6e 69 66 65 73 74 2d 56 65 72 73 69 6f 6e 3a 20 31 2e 30 0d 0a 43 72 65 61 74 65 64 2d 42 79 3a 20 31 2e 36 2e 30 5f 32 30 20 28 53 75 6e 20 4d 69 63 72 6f 73 79 73 74 65 6d 73 20 49 6e 63 2e 29 0d;Android manifest checksum file v1.0 Created-By: 1.6.0_20 (Sun Microsystems Inc.)
MID;4D 54 68 64;MIDI sound file
MIDI;4D 54 68 64;MIDI sound file
MIF;3C 4D 61 6B 65 72 46 69;Adobe FrameMaker
MIF;56 65 72 73 69 6F 6E 20;MapInfo Interchange Format file
MKV;1A 45 DF A3 93 42 82 88;Matroska stream file
MLS;4D 49 4C 45 53;Milestones project management file
MLS;4D 56 32 31 34;Milestones project management file_1
MLS;4D 56 32 43;Milestones project management file_2
MLS;4D 4C 53 57;Skype localization data file
MMF;4D 4D 4D 44 00 00;Yamaha Synthetic music Mobile Application Format
MNY;00 01 00 00 4D 53 49 53 41 4D 20 44 61 74 61 62 61 73 65;Microsoft Money file
MOF;FF FE 23 00 6C 00 69 00;MSinfo file
MOV;6D 6F 6F 76;QuickTime movie_1
MOV;66 72 65 65;QuickTime movie_2
MOV;6D 64 61 74;QuickTime movie_3
MOV;77 69 64 65;QuickTime movie_4
MOV;70 6E 6F 74;QuickTime movie_5
MOV;73 6B 69 70;QuickTime movie_6
MP;0C ED;Monochrome Picture TIFF bitmap
MP3;49 44 33;MP3 audio file
MPG;00 00 01 BA;DVD video file
MPG;00 00 01 B3;MPEG video file
MSC;D0 CF 11 E0 A1 B1 1A E1;Microsoft Common Console Document
MSC;3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3F 3E 0D 0A 3C 4D 4D 43 5F 43 6F 6E 73 6F 6C 65 46 69 6C 65 20 43 6F 6E 73 6F 6C 65 56 65 72;MMC Snap-in Control file
MSI;D0 CF 11 E0 A1 B1 1A E1;Microsoft Installer package
MSI;23 20;Cerius2 file
MSV;4D 53 5F 56 4F 49 43 45;Sony Compressed Voice File
MTW;D0 CF 11 E0 A1 B1 1A E1;Minitab data file
NRI;0E 4E 65 72 6F 49 53 4F;Nero CD compilation
NSF;1A 00 00 04 00 00;Lotus Notes database
NSF;4E 45 53 4D 1A 01;NES Sound file
NTF;1A 00 00;Lotus Notes database template
NTF;4E 49 54 46 30;National Imagery Transmission Format file
NTF;30 31 4F 52 44 4E 41 4E;National Transfer Format Map
NVRAM;4D 52 56 4E;VMware BIOS state file
OBJ;4C 01;MS COFF relocatable object code
OBJ;80;Relocatable object code
OCX;4D 5A;ActiveX|OLE Custom Control
ODP;50 4B 03 04;OpenDocument template
ODT;50 4B 03 04;OpenDocument template
OGA;4F 67 67 53 00 02 00 00;Ogg Vorbis Codec compressed file
OGG;4F 67 67 53 00 02 00 00;Ogg Vorbis Codec compressed file
OGV;4F 67 67 53 00 02 00 00;Ogg Vorbis Codec compressed file
OGX;4F 67 67 53 00 02 00 00;Ogg Vorbis Codec compressed file
OLB;4D 5A;OLE object library
ONE;E4 52 5C 7B 8C D8 A7 4D;MS OneNote note
OPT;D0 CF 11 E0 A1 B1 1A E1;Developer Studio File Options file
OPT;FD FF FF FF 20;Developer Studio subheader
ORG;41 4F 4C 56 4D 31 30 30;AOL personal file cabinet
OTT;50 4B 03 04;OpenDocument template
P10;64 00 00 00;Intel PROset|Wireless Profile
PAK;1A 0B;PAK Compressed archive file
PAK;50 41 43 4B;Quake archive file
PAT;47 50 41 54;GIMP pattern file
PAX;50 41 58;PAX password protected bitmap
PCH;56 43 50 43 48 30;Visual C PreCompiled header
PCX;0A 02 01 01;ZSOFT Paintbrush file_1
PCX;0A 03 01 01;ZSOFT Paintbrush file_2
PCX;0A 05 01 01;ZSOFT Paintbrush file_3
PDB;AC ED 00 05 73 72 00 12;BGBlitz position database file
PDB;4D 2D 57 20 50 6F 63 6B;Merriam-Webster Pocket Dictionary
PDB;4D 69 63 72 6F 73 6F 66 74 20 43 2F 43 2B 2B 20;MS C++ debugging symbols file
PDB;73 6D 5F;PalmOS SuperMemo
PDB;73 7A 65 7A;PowerBASIC Debugger Symbols
PDF;25 50 44 46;PDF file
PF;11 00 00 00 53 43 43 41;Windows prefetch file
PFC;41 4F 4C;AOL config files
PFC;41 4F 4C 56 4D 31 30 30;AOL personal file cabinet
PGD;50 47 50 64 4D 41 49 4E;PGP disk image
PGM;50 35 0A;Portable Graymap Graphic
PIF;4D 5A;Windows|DOS executable file
PKR;99 01;PGP public keyring
PNG;89 50 4E 47 0D 0A 1A 0A;PNG image
PPS;D0 CF 11 E0 A1 B1 1A E1;Microsoft Office document
PPT;D0 CF 11 E0 A1 B1 1A E1;Microsoft Office document
PPT;00 6E 1E F0;PowerPoint presentation subheader_1
PPT;0F 00 E8 03;PowerPoint presentation subheader_2
PPT;A0 46 1D F0;PowerPoint presentation subheader_3
PPT;FD FF FF FF 0E 00 00 00;PowerPoint presentation subheader_4
PPT;FD FF FF FF 1C 00 00 00;PowerPoint presentation subheader_5
PPT;FD FF FF FF 43 00 00 00;PowerPoint presentation subheader_6
PPTX;50 4B 03 04;MS Office Open XML Format Document
PPTX;50 4B 03 04 14 00 06 00;MS Office 2007 documents
PPZ;4D 53 43 46;Powerpoint Packaged Presentation
PRC;42 4F 4F 4B 4D 4F 42 49;Palmpilot resource file
PRC;74 42 4D 50 4B 6E 57 72;PathWay Map file
PSD;38 42 50 53;Photoshop image
PSP;7E 42 4B 00;Corel Paint Shop Pro image
PUB;D0 CF 11 E0 A1 B1 1A E1;MS Publisher file
PWI;7B 5C 70 77 69;MS WinMobile personal note
PWL;B0 4D 46 43;Win95 password file
PWL;E3 82 85 96;Win98 password file
QBB;45 86 00 00 06 00;QuickBooks backup
QCP;52 49 46 46;Resource Interchange File Format
QDF;AC 9E BD 8F 00 00;QDF Quicken data
QEL;51 45 4C 20;QDL Quicken data
QEMU;51 46 49;Qcow Disk Image
QPH;03 00 00 00;Quicken price history
QSD;51 57 20 56 65 72 2E 20;ABD | QSD Quicken data file
QTS;4D 5A;Windows|DOS executable file
QTX;4D 5A;Windows|DOS executable file
QXD;00 00 49 49 58 50 52;Quark Express (Intel)
QXD;00 00 4D 4D 58 50 52;Quark Express (Motorola)
RA;2E 52 4D 46 00 00 00 12;RealAudio file
RA;2E 72 61 FD 00;RealAudio streaming media
RAM;72 74 73 70 3A 2F 2F;RealMedia metafile
RAR;52 61 72 21 1A 07 00;WinRAR compressed archive
REG;FF FE;Windows Registry file
REG;52 45 47 45 44 49 54;WinNT Registry|Registry Undo files
RGB;01 DA 01 01 00 03;Silicon Graphics RGB Bitmap
RM;2E 52 4D 46;RealMedia streaming media
RMI;52 49 46 46;Resource Interchange File Format
RMVB;2E 52 4D 46;RealMedia streaming media
RPM;ED AB EE DB;RedHat Package Manager
RSA;30 82;Android RSA Certificate
RTD;43 23 2B 44 A4 43 4D A5;RagTime document
RTF;7B 5C 72 74 66 31;RTF file
RVT;D0 CF 11 E0 A1 B1 1A E1;Revit Project file
SAM;5B 56 45 52 5D;Lotus AMI Pro document_1
SAM;5B 76 65 72 5D;Lotus AMI Pro document_2
SAV;24 46 4C 32 40 28 23 29;SPSS Data file
SCR;4D 5A;Screen saver
SDR;53 4D 41 52 54 44 52 57;SmartDraw Drawing file
SF;53 69 67 6E 61 74 75 72 65 2D 56 65 72 73 69 6F 6E 3A 20 31 2E 30 0D 0A 43 72 65 61 74 65 64 2D 42 79 3A 20 31 2E 30 20 28 41 6E 64 72 6F 69 64;Android signature file - created by Android v1.0
SF;53 69 67 6e 61 74 75 72 65 2d 56 65 72 73 69 6f 6e 3a 20 31 2e 30 0d 0a 53 48 41 31 2d 44 69 67 65 73 74 2d 4d 61 6e 69 66 65 73 74 2d 4d 61 69 6e 2d 41 74;Android Signature-Version: 1.0 SHA1-Digest-Manifest
SF;53 69 67 6E 61 74 75 72 65 2D 56 65 72 73 69 6F 6E 3A 20 31 2E 30 0D 0A;Generic Android Signature file
SH3;48 48 47 42 31;Harvard Graphics presentation file
SHD;68 49 00 00;Win Server 2003 printer spool file
SHD;4B 49 00 00;Win9x printer spool file
SHD;67 49 00 00;Win2000|XP printer spool file
SHD;66 49 00 00;WinNT printer spool file
SHW;53 48 4F 57;Harvard Graphics presentation
SIT;53 49 54 21 00;StuffIt archive
SIT;53 74 75 66 66 49 74 20;StuffIt compressed archive
SKF;07 53 4B 46;SkinCrafter skin
SKR;95 00;PGP secret keyring_1
SKR;95 01;PGP secret keyring_2
SLE;41 43 76;Steganos virtual secure drive
SLE;3A 56 45 52 53 49 4F 4E;Surfplan kite project file
SLN;4D 69 63 72 6F 73 6F 66 74 20 56 69 73 75 61 6C;Visual Studio .NET file
SNM;00 1E 84 90 00 00 00 00;Netscape Communicator (v4) mail folder
SNP;4D 53 43 46;MS Access Snapshot Viewer file
SOU;D0 CF 11 E0 A1 B1 1A E1;Visual Studio Solution User Options file
SPL;00 00 01 00;Windows icon|printer spool file
SPO;D0 CF 11 E0 A1 B1 1A E1;SPSS output file
SQLITE;53 51 4c 69 74 65 20 66 6f 72 6d 61 74 20 33 00;SQLite 3.x database
SUD;52 45 47 45 44 49 54;WinNT Registry|Registry Undo files
SUO;FD FF FF FF 04;Visual Studio Solution subheader
SWF;43 57 53;Shockwave Flash file
SWF;46 57 53;Shockwave Flash player
SXC;50 4B 03 04;StarOffice spreadsheet
SXD;50 4B 03 04;OpenOffice documents
SXI;50 4B 03 04;OpenOffice documents
SXW;50 4B 03 04;OpenOffice documents
SYS;4D 5A;Windows|DOS executable file
SYS;FF FF FF FF;DOS system driver
SYS;FF 4B 45 59 42 20 20 20;Keyboard driver file
SYS;E8;Windows executable file_1
SYS;E9;Windows executable file_2
SYS;EB;Windows executable file_3
SYS;FF;Windows executable
SYW;41 4D 59 4F;Harvard Graphics symbol graphic
TAR;75 73 74 61 72;Tape Archive
TAR.BZ2;42 5A 68;bzip2 compressed archive
TAR.Z;1F 9D 90;Compressed tape archive_1
TAR.Z;1F A0;Compressed tape archive_2
TB2;42 5A 68;bzip2 compressed archive
TBZ2;42 5A 68;bzip2 compressed archive
TIB;B4 6E 68 44;Acronis True Image
TIF;49 20 49;TIFF file_1
TIF;49 49 2A 00;TIFF file_2
TIF;4D 4D 00 2A;TIFF file_3
TIF;4D 4D 00 2B;TIFF file_4
TIFF;49 20 49;TIFF file_1
TIFF;49 49 2A 00;TIFF file_2
TIFF;4D 4D 00 2A;TIFF file_3
TIFF;4D 4D 00 2B;TIFF file_4
TLB;4D 53 46 54 02 00 01 00;OLE|SPSS|Visual C++ library file
TR1;01 10;Novell LANalyzer capture file
UCE;55 43 45 58;Unicode extensions
UFA;55 46 41 C6 D2 C1;UFA compressed archive
VBX;4D 5A;VisualBASIC application
VCD;45 4E 54 52 59 56 43 44;VideoVCD|VCDImager file
VCF;42 45 47 49 4E 3A 56 43;vCard
VCW;5B 4D 53 56 43;Visual C++ Workbench Info File
VHD;63 6F 6E 65 63 74 69 78;Virtual PC HD image
VMDK;43 4F 57 44;VMware 3 Virtual Disk
VMDK;23 20 44 69 73 6B 20 44;VMware 4 Virtual Disk description
VMDK;4B 44 4D;VMware 4 Virtual Disk
VOB;00 00 01 BA;DVD video file
VSD;D0 CF 11 E0 A1 B1 1A E1;Visio file
VXD;4D 5A;Windows virtual device drivers
WAB;9C CB CB 8D 13 75 D2 11;Outlook address file
WAB;81 32 84 C1 85 05 D0 11;Outlook Express address book (Win95)
WAV;52 49 46 46;Resource Interchange File Format
WB2;00 00 02 00;QuattroPro spreadsheet
WB3;3E 00 03 00 FE FF 09 00 06;Quatro Pro for Windows 7.0
WIZ;D0 CF 11 E0 A1 B1 1A E1;Microsoft Office document
WK1;00 00 02 00 06 04 06 00;Lotus 1-2-3 (v1)
WK3;00 00 1A 00 00 10 04 00;Lotus 1-2-3 (v3)
WK4;00 00 1A 00 02 10 04 00;Lotus 1-2-3 (v4|v5)
WK5;00 00 1A 00 02 10 04 00;Lotus 1-2-3 (v4|v5)
WKS;0E 57 4B 53;DeskMate Worksheet
WKS;FF 00 02 00 04 04 05 54;Works for Windows spreadsheet
WMA;30 26 B2 75 8E 66 CF 11;Windows Media Audio|Video File
WMF;D7 CD C6 9A;Windows graphics metafile
WMV;30 26 B2 75 8E 66 CF 11;Windows Media Audio|Video File
WMZ;50 4B 03 04;Windows Media compressed skin file
WP;FF 57 50 43;WordPerfect text and graphics
WP5;FF 57 50 43;WordPerfect text and graphics
WP6;FF 57 50 43;WordPerfect text and graphics
WPD;FF 57 50 43;WordPerfect text and graphics
WPF;81 CD AB;WordPerfect text
WPG;FF 57 50 43;WordPerfect text and graphics
WPL;4D 69 63 72 6F 73 6F 66 74 20 57 69 6E 64 6F 77 73 20 4D 65 64 69 61 20 50 6C 61 79 65 72 20 2D 2D 20;Windows Media Player playlist
WPP;FF 57 50 43;WordPerfect text and graphics
WPS;D0 CF 11 E0 A1 B1 1A E1;MSWorks text document
